,model_name,model_class,model_file,features,fe_files,output_type,mae,package_mae,core_mae,uncore_mae,dram_mae,feature_group
0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,80.28578181815277,53.232570452634114,80.28578181815277,80.28578181815277,27.30854006653427,KubeletOnly
1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,80.47026060602035,70.43551813641858,80.47026060602035,80.47026060602035,21.64446508784674,KubeletOnly
3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,82.93228484845639,52.68228836252182,82.93228484845639,82.93228484845639,24.4226154948942,KubeletOnly
2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,84.55973333329558,48.219409090908655,84.55973333329558,84.55973333329558,32.69493333330462,KubeletOnly
5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",['poly_scaler.pkl'],DynPower,89.2351939393562,39.167639966727016,89.2351939393562,89.2351939393562,25.09678054917906,KubeletOnly
4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],DynPower,111.06694548091089,111.06694548091089,82.3211575757213,82.3211575757213,23.166423243393375,KubeletOnly
1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],DynPower,124.18679878144478,124.18679878144478,86.33752727268941,86.33752727268941,25.038547544911435,BPFIRQ
1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,['bpf_cpu_time_us'],[],DynPower,124.37528475003754,124.37528475003754,85.91766060602686,85.91766060602686,23.176916732991867,BPFOnly
1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],DynPower,127.66254267686405,127.66254267686405,84.83838787875773,84.83838787875773,22.72974796730827,CgroupOnly
4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],DynPower,147.1350782494372,147.1350782494372,84.55652121208506,84.55652121208506,20.519638707732426,CgroupOnly
3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,['bpf_cpu_time_us'],[],DynPower,147.28303863639448,147.28303863639448,91.72543636359818,91.72543636359818,21.375719574107812,BPFOnly
5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",['poly_scaler.pkl'],DynPower,150.38585481052962,150.38585481052962,88.7844909090487,88.7844909090487,23.110943359160718,BPFIRQ
2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],DynPower,150.54702727276512,150.54702727276512,89.58036969692859,89.58036969692859,26.788166666653954,CgroupOnly
5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",['poly_scaler.pkl'],DynPower,151.00459923177962,151.00459923177962,87.78276969692881,87.78276969692881,22.453365061909157,CgroupOnly
3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],DynPower,151.17992944311467,151.17992944311467,87.53611515147337,87.53611515147337,23.86646202291773,CgroupOnly
3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],DynPower,154.04415321669165,154.04415321669165,83.88592727268978,83.88592727268978,22.879912084292478,BPFIRQ
5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,['bpf_cpu_time_us'],['poly_scaler.pkl'],DynPower,156.7168840206704,156.7168840206704,81.85908484845264,81.85908484845264,22.5261787958721,BPFOnly
4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,['bpf_cpu_time_us'],[],DynPower,159.91590123142103,159.91590123142103,84.62172121208842,84.62172121208842,21.87470640267304,BPFOnly
2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],DynPower,160.23433636367633,160.23433636367633,83.7680181817776,83.7680181817776,26.802583838368864,BPFIRQ
4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],DynPower,163.21220297696382,163.21220297696382,85.61212121208276,85.61212121208276,24.846934478965682,BPFIRQ
2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,['bpf_cpu_time_us'],[],DynPower,200.91436161621422,200.91436161621422,83.73386060602479,83.73386060602479,22.58322626260409,BPFOnly
0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,['bpf_cpu_time_us'],[],DynPower,7282888129.7770195,4502160937.207279,84.46909696965083,84.46909696965083,7282888129.7770195,BPFOnly
0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],DynPower,2.314026723034669e+16,6368310238983485.0,86.04150909086704,86.04150909086704,2.314026723034669e+16,BPFIRQ
0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],DynPower,1.9479174708628862e+20,1.0640284615955425e+19,87.53967878783887,87.53967878783887,1.9479174708628862e+20,CgroupOnly
